subjectID,smoothness,order,av_distance,av_distance_prev,reclicks,HVclicks,Novclicks,performance,performance_av,sequence,context,PCA,PEC,E,Novclicksp,HVclicksp,l,b,t,dlogl,dlogb,dlogt,NLL,dnov,dhv,dd,ddprev,logl,logb,logt
h8XuoR0c,smooth,RS,112.291.666.666.667,139.791.666.666.667,173,173,307,659.858.870.967.742,609.324.596.774.194,2,smooth,0.793605007,-0.793605007,2,0.639583333,0.360416667,0.643074683,0.308546128,0.057102926,-0.045945676,0.074638639,0.125220908,131.143.271.865.086,-11,14,-0.272916667,-0.0875,-0.191738588,-0.5106799,-12.433.416.413.198
h8XuoR0c,rough,RS,139.583.333.333.333,148.541.666.666.667,159,159,318,558.790.322.580.645,609.324.596.774.194,1,rough,0.513646643,-0.513646643,2,0.6625,0.33125,0.714837106,0.259825314,0.042799377,-0.045945676,0.074638639,0.125220908,12.002.091.281.789,-11,14,-0.272916667,-0.0875,-0.145792912,-0.585318539,-136.856.254.965.232
pVH8Cnvo,smooth,SR,169.375,184.375,11,11,465,605.362.903.225.806,593.790.322.580.645,1,smooth,-107.799.154.823.694,107.799.154.823.694,2,0.96875,0.022916667,0.633551002,0.532482458,0.087158367,0.048114006,0.379053011,0.348426078,132.474.127.351.829,210,-213,0.48125,0.629166667,-0.198218418,-0.273694695,-105.969.091.572.921
pVH8Cnvo,rough,SR,12.125,121.458.333.333.333,224,224,255,582.217.741.935.484,593.790.322.580.645,2,rough,129.917.459.356.079,-129.917.459.356.079,2,0.53125,0.466666667,0.567110353,0.222460185,0.039073562,0.048114006,0.379053011,0.348426078,111.421.156.132.196,210,-213,0.48125,0.629166667,-0.246332424,-0.652747705,-14.081.169.939.895
x1ehpmAF,smooth,RS,241.041.666.666.667,242.708.333.333.333,35,35,415,587.802.419.354.839,517.943.548.387.097,2,smooth,-144.359.767.544.792,144.359.767.544.792,2,0.864583333,0.072916667,914.963.408.170.093,0.915143899,0.080426464,114.353.926.435.209,0.379148,0.056611492,183.372.526.249.046,-32,27,-188.333.333.333.333,-0.44375,0.961403726,-0.038510611,-109.460.102.432.182
x1ehpmAF,rough,RS,429.375,287.083.333.333.333,8,8,447,448.084.677.419.355,517.943.548.387.097,1,rough,-280.103.103.270.918,280.103.103.270.918,2,0.93125,0.016666667,0.657452622,0.382244626,0.070597201,114.353.926.435.209,0.379148,0.056611492,17.854.519.590.189,-32,27,-188.333.333.333.333,-0.44375,-0.182135539,-0.417658611,-115.121.251.623.036
AuCCd4oS,smooth,SR,275.208.333.333.333,29.375,110,110,369,663.064.516.129.032,6.221.875,1,smooth,-14.019.111.806.589,14.019.111.806.589,2,0.76875,0.229166667,114.297.165.848.152,0.41689294,0.080079636,11.277.356.978.911,0.575125915,0.413987572,176.808.793.884.767,209,-206,154.375,163.333.333.333.333,10.580.354.616.134,-0.37997546,-109.647.790.863.701
AuCCd4oS,rough,SR,120.833.333.333.333,130.416.666.666.667,316,316,160,581.310.483.870.968,6.221.875,2,rough,203.137.823.811.808,-203.137.823.811.808,2,0.333333333,0.658333333,0.851725723,0.110891594,0.03086985,11.277.356.978.911,0.575125915,0.413987572,974.653.121.192.689,209,-206,154.375,163.333.333.333.333,-0.069700236,-0.955101375,-151.046.548.064.887
0H4PEg6z,smooth,SR,183.958.333.333.333,177.708.333.333.333,267,267,212,612.177.419.354.839,605.836.693.548.387,1,smooth,1.035.853.415.732,-1.035.853.415.732,2,0.441666667,0.55625,0.925685239,0.110121173,0.037957607,0.095696218,0.528696216,0.224181378,116.196.470.192.679,130,-127,0.73125,0.670833333,-0.033536661,-0.958129172,-142.070.117.979.409
0H4PEg6z,rough,SR,110.833.333.333.333,110.625,394,394,82,599.495.967.741.936,605.836.693.548.387,2,rough,2.852.693.685.963,-2.852.693.685.963,2,0.170833333,0.820833333,0.74262082,0.032596773,0.022652568,0.095696218,0.528696216,0.224181378,760.511.824.134.043,130,-127,0.73125,0.670833333,-0.129232879,-148.682.538.801.787,-164.488.255.767.885
