Participant,Grid,ls,lr,smooth expectations,rough expectations
673083a6d6c6992b85b1714e,0,1.972679971193828,8.569682763101103,45.45714993558685,77.10066711165851
673083a6d6c6992b85b1714e,1,1.972679971193828,8.569682763101103,39.99612020823608,6.342721383094137
673083a6d6c6992b85b1714e,2,1.972679971193828,8.569682763101103,51.640050033267386,77.67613495911753
673083a6d6c6992b85b1714e,3,1.972679971193828,8.569682763101103,29.303907565493517,8.374217830054004
673083a6d6c6992b85b1714e,4,1.972679971193828,8.569682763101103,45.10647958882573,92.73397322479514
673083a6d6c6992b85b1714e,5,1.972679971193828,8.569682763101103,39.999996767784,59.153981057041875
673083a6d6c6992b85b1714e,6,1.972679971193828,8.569682763101103,39.981189207378414,21.95992318629093
673083a6d6c6992b85b1714e,7,1.972679971193828,8.569682763101103,40.00073588867969,71.60082336741273
673083a6d6c6992b85b1714e,8,1.972679971193828,8.569682763101103,27.48256961511572,6.256029691719775
673083a6d6c6992b85b1714e,9,1.972679971193828,8.569682763101103,44.49692531999737,76.33900215285509
673083a6d6c6992b85b1714e,10,1.972679971193828,8.569682763101103,39.99999961856812,2.8067675504470415
673083a6d6c6992b85b1714e,11,1.972679971193828,8.569682763101103,40.823601558636234,82.71843859696686
673083a6d6c6992b85b1714e,12,1.972679971193828,8.569682763101103,39.999956340679006,6.627576976603784
673083a6d6c6992b85b1714e,13,1.972679971193828,8.569682763101103,39.999501393906314,3.693404988047604
673083a6d6c6992b85b1714e,14,1.972679971193828,8.569682763101103,41.49482901230989,93.61763401405305
673083a6d6c6992b85b1714e,15,1.972679971193828,8.569682763101103,39.99999961856812,2.8067675504470415
673083a6d6c6992b85b1714e,16,1.972679971193828,8.569682763101103,40.823601558636234,82.71843859696686
673083a6d6c6992b85b1714e,17,1.972679971193828,8.569682763101103,39.999959865397145,8.143692821028779
673083a6d6c6992b85b1714e,18,1.972679971193828,8.569682763101103,39.999501393906314,3.693404988047604
673083a6d6c6992b85b1714e,19,1.972679971193828,8.569682763101103,41.49482901230989,93.61763401405305
6558f14bdab988d792fc37eb,0,3.4170420775598265,9.706136129615007,57.06677803909412,79.1302782593824
6558f14bdab988d792fc37eb,1,3.4170420775598265,9.706136129615007,38.46393160142794,0.7412820644560796
6558f14bdab988d792fc37eb,2,3.4170420775598265,9.706136129615007,65.27052254379643,78.55875426280991
6558f14bdab988d792fc37eb,3,3.4170420775598265,9.706136129615007,17.12672033011204,7.329267317031032
6558f14bdab988d792fc37eb,4,3.4170420775598265,9.706136129615007,66.12860953545915,94.18916068502656
6558f14bdab988d792fc37eb,5,3.4170420775598265,9.706136129615007,40.11274229400343,63.82291888244501
6558f14bdab988d792fc37eb,6,3.4170420775598265,9.706136129615007,38.3432009354807,19.159856996591834
6558f14bdab988d792fc37eb,7,3.4170420775598265,9.706136129615007,40.92339924440602,77.4616131017879
6558f14bdab988d792fc37eb,8,3.4170420775598265,9.706136129615007,15.973161136067041,5.151332587297745
6558f14bdab988d792fc37eb,9,3.4170420775598265,9.706136129615007,57.173375671247996,77.61657569957828
6558f14bdab988d792fc37eb,10,3.4170420775598265,9.706136129615007,39.85435984844978,-6.8964015367507585
6558f14bdab988d792fc37eb,11,3.4170420775598265,9.706136129615007,51.408064613345,85.28595038315328
6558f14bdab988d792fc37eb,12,3.4170420775598265,9.706136129615007,39.58215128830584,-0.548997844813357
6558f14bdab988d792fc37eb,13,3.4170420775598265,9.706136129615007,38.982158087980515,-2.4865226823249955
6558f14bdab988d792fc37eb,14,3.4170420775598265,9.706136129615007,54.26022540907236,97.51698163609257
6558f14bdab988d792fc37eb,15,3.4170420775598265,9.706136129615007,39.85435984844978,-6.8964015367507585
6558f14bdab988d792fc37eb,16,3.4170420775598265,9.706136129615007,51.408064613345,85.28595038315328
